"","au2010","lib2010","cat2010","tau2015","ppltn15","emply15","entrp15","nvntr15","prfss15","intll15","stnserv","emp_diff","entre_diff","new_diff","prof_diff","int_diff","serv_diff","libau2010"
"122",17,"Saint-Étienne",112,9,517585,195655,28468,3446,10007,20894,74,-6.25361780456331,-1.79030047987681,-5.99197526644097,-5.2126198108942,-29.1181196781492,-1.26851580426619,"Saint-Étienne"
"123",69,"Laval",112,7,121752,51503,5749,656,1913,5837,18,8.53489191501673,-11.9139219598489,-13.0710796828502,-16.367726300622,21.8547088403794,-15.88064707518,"Laval"
"124",84,"Cholet",112,7,116313,49214,5584,532,2252,4416,22,8.67065915904117,-10.0937423468441,-29.007940949485,4.81977434719401,-0.406713130735703,8.1893424116922,"Cholet"
"125",38,"Dunkerque",112,8,257652,94801,8768,980,2976,7823,32,-7.24769234620304,-47.3268795975233,-55.1890708532851,-52.1054674691547,-41.3193893218267,-24.0027540617531,"Dunkerque"
"126",121,"Castres",112,6,67799,25653,3859,417,1381,2288,13,-1.18671208402521,8.84468645589429,5.86241173845092,13.4680905833905,0.409327777648283,2.85490059837525,"Castres"
"127",130,"Moulins",112,6,62174,24744,2882,316,1059,1890,11,4.07851519543154,-11.3794153355281,-12.3681028968813,-3.84535731437934,-8.01817968245047,-6.26440784191686,"Moulins"
"128",128,"Dax",111,6,65103,24995,4172,491,1566,1875,13,0.371782451268921,20.8450370536289,26.6507485072902,30.3662582882636,-14.4928351231711,6.40896889738554,"Dax"
"129",115,"Longwy (partie française)",112,6,73972,29111,2272,267,945,1853,4,2.53171102729901,-53.1530693402916,-48.2832411109738,-33.7609329531001,-31.4257069514591,-122.643003500821,"Longwy (partie française)"
"130",14,"Douai - Lens",112,9,539715,184706,17978,2343,6003,13823,85,-16.3015599905398,-52.0887341064128,-49.1643434472844,-60.7792803848213,-75.5949039379761,8.92298636451265,"Douai - Lens"
"131",25,"Dijon",112,8,384824,163391,20340,2507,6905,22731,65,6.08968282382438,-4.71938825206113,-5.28170533406511,-10.7142444227989,15.8653456876388,11.7238975331246,"Dijon"
"132",74,"Saint-Quentin",112,7,110746,39368,4523,507,1647,3252,16,-8.62726323439826,-26.0882138206053,-28.4393589355212,-21.2370796247529,-24.9538063247396,-19.3601979878436,"Saint-Quentin"
"133",44,"Annecy",112,8,226556,105001,12005,1413,5983,16976,21,16.1477744266485,-2.58746170037405,-4.48390564876187,31.4425690200592,52.0176709629743,-54.8586517399513,"Annecy"
"134",91,"Albi",112,6,99407,37532,6131,671,2266,3869,16,-2.3372278741677,15.514829123274,11.4392724370447,22.1862584112118,5.74165998065226,-9.89915632112859,"Albi"
"135",35,"Limoges",111,8,283823,112361,13149,1519,4722,13171,56,-0.164804323736334,-16.8204131309324,-21.9790888245619,-16.2552231617552,-1.15656875242447,23.4854142566414,"Limoges"
"136",141,"Arles",111,6,55766,19496,4178,476,1134,1680,9,-8.6154535466676,37.0184654665446,40.5352123626907,14.5951087869779,-6.38038630139661,-16.8042376168183,"Arles"
"137",146,"Laon",112,6,52773,19641,2051,258,726,1722,9,-2.22301739191373,-28.419920103966,-14.6573243794386,-24.1186155233228,2.89293166864883,-11.9724389229834,"Laon"
"138",114,"Le Puy-en-Velay",112,6,75341,30668,4363,415,1851,2469,12,5.8634236761435,10.1980435113079,-6.19248888951711,31.5134375736094,-4.98678431972994,-14.3879605467887,"Le Puy-en-Velay"
"139",20,"Nancy",112,8,435336,175168,21269,2713,6814,26254,54,0.414644192732716,-13.0239238625355,-10.9182698239359,-25.1911494112745,15.0623381212988,-17.618913110943,"Nancy"
"140",2,"Lyon",112,9,2284504,975817,154546,22366,47563,173951,298,2.33265543017165,13.641512448431,18.119419290524,-7.64470125914904,-0.314863695625434,7.98879160921482,"Lyon"
"141",127,"Soissons",112,6,63619,22780,2822,333,882,1993,11,-6.54523553265491,-15.8622979141491,-9.64918037354794,-24.5839193589881,-5.54554664596756,-8.27677996130411,"Soissons"
"142",100,"Cluses",111,6,94713,43679,5668,615,2301,4202,18,17.7856091244298,12.6713713427366,8.03242705260514,28.8766007521168,19.9642655482114,6.11592112807573,"Cluses"
"143",99,"Saint-Omer",112,6,90462,34041,3466,374,1504,2588,14,-2.44006491602757,-31.7571217608892,-36.6652062858719,-8.74859766824008,-22.8392736562691,-14.9933289655238,"Saint-Omer"
